time,image,x,y,z,qx,qy,qz,qw,distance,angle
1596613146.847619,Image_000001,0.21240231,0.0071291924,-0.08492267,-0.48628592,-0.3859326,-0.30887002,0.72054243,0.0,0.0
1596613149.589489,Image_000002,0.3042035,0.011274179,-0.12567377,-0.44568193,-0.439269,-0.30357236,0.7185083,0.10052509,7.7103777
1596613151.23789,Image_000003,0.39034247,0.011868119,-0.17738025,-0.40154755,-0.5169539,-0.3432598,0.67356586,0.10046808,12.335926
1596613152.408132,Image_000004,0.465294,0.012913942,-0.10994968,-0.3945753,-0.53100103,-0.35622817,0.6598862,0.10082513,2.8099985
1596613153.608244,Image_000005,0.53841835,0.014396906,-0.040101588,-0.38069472,-0.54303193,-0.36803183,0.6517211,0.101134196,2.6711893
1596613155.07143,Image_000006,0.6344301,0.012643814,-0.008552328,-0.35541597,-0.5906918,-0.3980943,0.60521364,0.10107763,8.861517
1596613156.576685,Image_000007,0.7345678,0.008600314,-0.019246712,-0.31926608,-0.64833003,-0.42576826,0.5444804,0.1007883,10.925494
1596613158.514001,Image_000008,0.8162839,0.0115983095,0.039034758,-0.30185515,-0.6684761,-0.4329043,0.5240391,0.1004153,3.9328508
1596613159.862674,Image_000009,0.8584596,0.013108373,0.13017793,-0.31054035,-0.6542531,-0.42616528,0.5421261,0.10043978,2.9225142
1596613161.54403,Image_000010,0.95332134,0.015901327,0.16224688,-0.2842054,-0.683298,-0.44225043,0.5067009,0.100174695,6.330165
1596613161.71083,Image_000011,0.9677084,0.01354897,0.16239163,0.28173482,0.6876464,0.44537666,-0.4994072,0.014578832,358.9252
1596613163.525988,Image_000012,1.0582769,0.0062367916,0.2044402,0.26603854,0.7147034,0.45828313,-0.45650762,0.100120924,6.2620077
1596613164.712119,Image_000013,1.0723338,0.013310671,0.26872683,-0.28355333,-0.68961257,-0.43998954,0.50044096,0.06618464,353.51575
1596613167.1133718,Image_000014,1.079706,0.01457572,0.25890797,-0.3491481,-0.59911484,-0.37293082,0.6165059,0.012343366,20.025095
1596613170.181032,Image_000015,1.1309148,0.018544754,0.17239144,-0.38896456,-0.51486903,-0.29974383,0.7026878,0.10061417,16.80433
1596613174.166589,Image_000016,1.2028031,0.024763703,0.16761044,-0.42834464,-0.39807191,-0.20614861,0.78457785,0.072315045,20.090126
1596613177.115207,Image_000017,1.1710515,0.029308876,0.1401137,-0.4400046,-0.26858062,-0.10968177,0.84984136,0.042248026,20.027885
1596613180.800683,Image_000018,1.1297637,0.037291527,0.14229292,-0.42869592,-0.13084617,-0.012620471,0.89383435,0.04210882,20.023249
1596613184.60407,Image_000019,1.2072533,0.040585354,0.07788067,-0.43547797,-0.13833354,-0.028695717,0.88904405,0.10081878,2.2433918
1596613186.887928,Image_000020,1.3064187,0.03815615,0.06513572,-0.44359896,-0.13316065,-0.025505936,0.88591063,0.10001048,1.2169012
1596613188.9204512,Image_000021,1.4023945,0.03484722,0.09399193,-0.44413176,-0.11198799,-0.029408226,0.88844854,0.100274615,2.4850762
1596613191.0211911,Image_000022,1.4783454,0.038029432,0.028180659,-0.44206753,-0.15848936,-0.052194048,0.8813247,0.10054741,5.995223
1596613193.208682,Image_000023,1.5693471,0.03661782,-0.015341003,-0.44674817,-0.18807392,-0.064983025,0.87225085,0.100883335,3.8742924
1596613194.758452,Image_000024,1.6654085,0.037229657,0.015642405,-0.44332084,-0.17927322,-0.07398071,0.87513125,0.100936264,1.5303006
1596613196.776291,Image_000025,1.7605075,0.038733125,-0.01871862,-0.44112262,-0.23422572,-0.1059812,0.8598355,0.10112742,7.5002813
1596613199.040172,Image_000026,1.8473494,0.025133332,-0.066547714,-0.43799254,-0.34254205,-0.18691047,0.80987155,0.10007047,16.536331
1596613201.157409,Image_000027,1.9468566,0.026224732,-0.05355656,-0.42349777,-0.40292355,-0.24114572,0.77469414,0.10035759,10.275183
1596613202.225811,Image_000028,2.0358045,0.023951253,-0.0064645424,-0.42142963,-0.41012958,-0.2511425,0.7688421,0.10067053,1.5816103
1596613204.226478,Image_000029,2.136905,0.023572683,-0.033781826,-0.40667176,-0.47515097,-0.28816286,0.7251288,0.10472668,10.076169
1596613205.745294,Image_000030,2.2346854,0.019569954,-0.055505633,-0.38972053,-0.518425,-0.31435055,0.6932078,0.10024453,7.1249886
1596613207.027514,Image_000031,2.3171685,0.014515718,0.001091882,-0.3950303,-0.5084428,-0.3194282,0.6952716,0.100161254,1.4401857
1596613208.79867,Image_000032,2.41444,0.013884664,0.027956516,-0.39027843,-0.5206132,-0.32945693,0.6841804,0.10091502,2.2749207
1596613210.4454532,Image_000033,2.4998133,0.018535495,-0.023915887,-0.36732137,-0.5524444,-0.33868718,0.66721153,0.10000497,5.012794
1596613212.813437,Image_000034,2.5910053,0.027938604,0.01703298,-0.39313394,-0.4876245,-0.3084553,0.7159074,0.10040523,10.350572
1596613213.9296489,Image_000035,2.6580853,0.0294137,-0.059024185,-0.39206713,-0.48651117,-0.29864684,0.72138774,0.10142287,1.2996331
1596613216.464715,Image_000036,2.7181497,0.037029624,-0.115936816,-0.43936625,-0.3565144,-0.22097859,0.7943697,0.083094954,20.036486
1596613219.099688,Image_000037,2.7496083,0.03918183,-0.21188486,-0.4530303,-0.26072592,-0.16024314,0.83732176,0.10099655,13.994405
1596613221.200499,Image_000038,2.7824762,0.04715832,-0.27783802,-0.46817207,-0.11047269,-0.07878109,0.8731576,0.07411979,20.112238
1596613222.6159248,Image_000039,2.7496867,0.04061075,-0.26798803,-0.4776181,0.048381552,-0.0052351756,0.8772188,0.034857456,20.12006
1596613224.086472,Image_000040,2.6490452,0.034431696,-0.2532245,-0.4784029,0.15465158,0.06678058,0.86183167,0.10190609,14.826349
1596613225.734719,Image_000041,2.5608635,0.03381765,-0.20600224,-0.44735542,0.2821367,0.15073207,0.83519566,0.100031674,18.127943
1596613227.550952,Image_000042,2.5385523,0.042889953,-0.17042595,-0.41100365,0.43216228,0.2067004,0.7756202,0.042962413,20.041626
1596613230.6199741,Image_000043,2.45275,0.046137653,-0.117727555,-0.38107195,0.5416501,0.24815477,0.7069784,0.10074575,15.93806
1596613233.306697,Image_000044,2.3712063,0.035587747,-0.05939754,-0.35454923,0.596828,0.2946251,0.6567247,0.10081202,10.526717
1596613234.219733,Image_000045,2.2889087,0.0339725,-0.0007459745,-0.3674121,0.57981855,0.29647118,0.66402084,0.101071775,2.5911644
1596613235.305212,Image_000046,2.2224426,0.028104981,0.07513873,-0.37774992,0.5640115,0.2912818,0.6740556,0.1010478,2.5219698
1596613236.920711,Image_000047,2.122216,0.02178053,0.06636234,-0.38501942,0.59884715,0.31390524,0.6281765,0.10080875,7.1417866
1596613238.605305,Image_000048,2.0240002,0.01495862,0.042462245,-0.38349736,0.61737406,0.32907048,0.60290277,0.10131189,3.9931
1596613239.4219952,Image_000049,1.9309027,0.0098120775,0.08118518,-0.40241426,0.58504033,0.31055695,0.6319377,0.10096082,5.831288
1596613240.640024,Image_000050,1.8436571,0.016001105,0.13183819,-0.4150231,0.5458033,0.28818423,0.6684344,0.101073354,6.810037
1596613245.223125,Image_000051,1.81017,0.048459332,0.14647147,-0.3317923,0.48628032,0.20207658,0.7826943,0.048877954,20.182526
