time,image,x,y,z,qx,qy,qz,qw,distance,angle   
1596611185.206294,Image_000001,-0.005000606,0.008435011,-0.0016395152,-0.2156298,0.73488617,0.6090137,0.20627274,0.0,0.0
1596611187.374205,Image_000002,-0.011553735,0.0025541782,0.0022661742,-0.09800308,0.7001109,0.62609166,0.3290126,0.009632346,20.005836
1596611188.541421,Image_000003,-0.102072656,0.028697848,-0.02266388,-0.20800534,0.6696531,0.5564016,0.4457754,0.09746114,20.370756
1596611189.342284,Image_000004,-0.17669037,0.055782318,-0.06824009,-0.33421364,0.6469016,0.45692796,0.5109172,0.09153449,20.065948
1596611190.1082258,Image_000005,-0.22032154,0.080705404,-0.12396767,-0.43485186,0.6146241,0.32959846,0.56965417,0.075036004,20.147411
1596611190.777627,Image_000006,-0.24477571,0.120018125,-0.15894079,-0.50499094,0.61147875,0.17311539,0.5840454,0.058022548,19.747332
1596611191.403965,Image_000007,-0.24304,0.13740309,-0.18346421,-0.5944812,0.6297803,0.044538736,0.49798107,0.030110594,20.616793
1596611191.608846,Image_000008,-0.23912752,0.13639772,-0.18546832,-0.61934274,0.632074,0.032465804,0.46458918,0.0045093987,4.974381
1596611192.343034,Image_000009,-0.20338815,0.12675655,-0.152287,0.72226584,-0.6227624,-0.022520013,-0.29998654,0.049711704,337.6641
1596611192.8449001,Image_000010,-0.17049812,0.13092673,-0.09554362,0.7281799,-0.65081996,-0.13363242,-0.16831516,0.06571877,20.039862
1596611193.126216,Image_000011,-0.13141558,0.14428174,-0.05705142,-0.67774194,0.6997331,0.20333417,0.098460905,0.056457516,346.11023
1596611193.50952,Image_000012,-0.067706466,0.1665402,-0.012024641,-0.5571662,0.7797434,0.28553578,0.00595396,0.08112768,21.852112
1596611194.0110312,Image_000013,-0.013064444,0.1750229,0.0065134764,-0.40985897,0.84061325,0.34147146,-0.09371391,0.058321252,22.511007
1596611194.361634,Image_000014,0.03994293,0.17437999,0.010334292,-0.2510267,0.8963396,0.3374989,-0.14019778,0.053148787,20.041235
1596611194.7619839,Image_000015,0.085862815,0.16552198,0.03416753,-0.066220805,0.9337953,0.31491268,-0.15643278,0.05248927,21.874804
1596611195.2589068,Image_000016,0.10708373,0.13016185,0.11276152,0.136355,0.92261714,0.3183456,-0.16982666,0.0887563,23.34303
1596611195.710764,Image_000017,0.14559458,0.093799174,0.19806123,0.35079607,0.88553476,0.26802126,-0.14468914,0.10040602,25.811995
1596611196.226231,Image_000018,0.14513245,0.07209672,0.28704602,0.5367285,0.81983405,0.14088306,-0.14123277,0.09159423,26.95166
1596611196.545708,Image_000019,0.11782706,0.081389606,0.38595438,0.5567769,0.818292,0.07890378,-0.11904581,0.103028186,7.889133
1596611196.910204,Image_000020,0.075060785,0.1160821,0.5067432,0.5146191,0.85291475,0.04158646,-0.07729252,0.13274962,8.960955
1596611197.383888,Image_000021,0.04360854,0.120584965,0.63153815,0.4946094,0.8629015,0.08196927,-0.06358921,0.12877616,5.518353
1596611197.798934,Image_000022,0.054076403,0.13619924,0.80339384,0.42678803,0.8928775,0.1435069,-0.0052485126,0.17288077,12.914929
1596611198.032041,Image_000023,0.05851105,0.16702269,0.90516496,0.32777956,0.9310076,0.15744714,0.0315562,0.10642891,12.974251
1596611198.349523,Image_000024,0.03910622,0.20198041,0.9995628,0.19760662,0.9658857,0.14920509,0.075856455,0.10251606,16.297037
1596611198.629984,Image_000025,-0.009600046,0.21838017,1.0856647,0.112925015,0.9741935,0.14861271,0.12692189,0.10027362,11.376542
1596611198.8682818,Image_000026,-0.0750134,0.22021395,1.1671381,0.07232517,0.9682402,0.14977494,0.18667476,0.104499646,8.309085
1596611199.102936,Image_000027,-0.14384435,0.22552286,1.2421452,0.054617636,0.9564138,0.15198867,0.24328792,0.1019409,6.936738
1596611199.414824,Image_000028,-0.22566614,0.22501415,1.3114576,0.024559932,0.94647545,0.16323462,0.2773725,0.107234694,5.484623
1596611199.715107,Image_000029,-0.30998886,0.22456563,1.3731607,-0.063598216,0.9337613,0.15263799,0.31740624,0.104488246,11.260526
1596611200.014282,Image_000030,-0.40388823,0.2098651,1.4472606,-0.202859,0.8966999,0.14411767,0.3660705,0.120515525,17.47401
1596611200.329493,Image_000031,-0.49833304,0.22254892,1.5001702,-0.34926477,0.8366396,0.06215344,0.41735503,0.108996004,21.281113
